"","region","TajD","S","theta_W","theta_S","recomb"
"344","1446063 - 1449550",-0.855466127544904,19,2.34633911586459,1.43951119684545,3
"345","1449075 - 1453801",-1.86781879887461,18,2.22284758345066,0.325967814391037,3
"346","1455197 - 1460871",-2.31588024098984,52,6.42155968552414,0.637055436643207,4
"347","1461301 - 1461498",-0.753035048004359,1,0.123491532413926,0.00216567279432274,0
"348","1461487 - 1463111",-1.76989776681503,13,1.60538992138103,0.206114149982237,0
"349","1463149 - 1465573",-1.88738294158228,29,3.58125444000385,0.75036216884379,3
"350","1465889 - 1469381",-1.41960172082397,25,3.08728831034814,1.20662092211388,5
"351","1470103 - 1472480",-2.04234040350617,18,2.22284758345066,0.148730867590366,1
"352","1472839 - 1474438",-1.66847101754014,9,1.11142379172533,0.101541749978713,0
"353","1474667 - 1476838",-1.86304795979602,15,1.85237298620889,0.210659831408715,1
"354","1477643 - 1479850",-2.28795053037547,25,3.08728831034814,0.0562452471761987,0
"355","1480900 - 1481526",-1.57217103363736,7,0.86444072689748,0.0641222360219268,0
"356","1483375 - 1485858",-2.27527968864322,33,4.07522056965955,0.265667802940218,3
"357","1486652 - 1496398",-2.5837267659856,90,11.1142379172533,0.429142627287595,5
"358","1496635 - 1498092",-1.59162385709605,6,0.740949194483554,0.00974611479592586,0
"359","1498115 - 1499068",-1.7667089675684,9,1.11142379172533,0.0420808780135472,0
"360","1498612 - 1499571",-1.83362763555331,10,1.23491532413926,0.0388364793723777,0
"361","1499574 - 1500253",-1.48860924881225,5,0.617457662069629,0.00974494035297883,0
"362","1500670 - 1514612",-2.55471989191731,157,19.3881705889863,1.46386855634537,14
"363","1517580 - 1521643",-2.26786118237156,30,3.70474597241777,0.204155766368065,1
"364","1521810 - 1524748",-2.14619504354262,19,2.34633911586459,0.071287512441755,0
"365","1525654 - 1532527",-2.36157641128582,62,7.65647500966339,0.738418084072498,4
"366","1532674 - 1540545",-2.42409101181392,70,8.6444072689748,0.707157348929936,6
"367","1540804 - 1544163",-1.54347724841366,21,2.59332218069244,0.820409469533482,2
"368","1545416 - 1553962",-2.27332140413236,73,9.01488186621658,1.27744394237008,5
"369","1553848 - 1555709",-2.09149629560721,19,2.34633911586459,0.129270347958084,0
"370","1556447 - 1565469",-2.45668195972991,122,15.0659669544989,1.52507641219424,11
"371","1569604 - 1573189",-1.95043655571416,19,2.34633911586459,0.278799249530957,1
"372","1576132 - 1578978",-2.15883762106672,24,2.96379677793422,0.198621791201661,3
"373","1580594 - 1582483",-2.14846162257393,28,3.45776290758992,0.329174630857901,1
"374","1582539 - 1585322",-2.25429945341028,28,3.45776290758992,0.175053657362142,2
"375","1585329 - 1592079",-2.37211402127507,76,9.38535646345835,1.00512233291347,5
"376","1593266 - 1595319",-1.62931836410735,13,1.60538992138103,0.31725579660997,1
"377","1595767 - 1597718",-2.31779365268304,30,3.70474597241777,0.127081773526294,1
"378","1597769 - 1600089",-1.8377504797784,11,1.35840685655318,0.0741807526417626,0
"379","1600448 - 1603560",-1.61857370553715,11,1.35840685655318,0.227342206249798,1
"380","1604250 - 1607491",-2.33286271762354,35,4.3222036344874,0.213250065328389,0
"381","1607519 - 1608723",-1.81410705795778,10,1.23491532413926,0.0515697898040736,0
"382","1610100 - 1615809",-2.1934315019861,44,5.43362742621273,0.713893953674098,2
"383","1615976 - 1622355",-2.34069581244105,65,8.02694960690517,0.86723685871745,5
"384","1622360 - 1632547",-2.46391294439798,63,7.77996654207732,0.455854157674838,6
"385","1633071 - 1636567",-2.01548935469784,24,2.96379677793422,0.382231265432914,2
"386","1636768 - 1643539",-1.65950879569058,76,9.38535646345835,3.5226230008779,15
"387","1644911 - 1647382",-1.817836313404,24,2.96379677793422,0.635397710423475,3
"388","1649321 - 1657012",-2.47353871898419,94,11.608204046909,0.953041073205965,8
"389","1657118 - 1658339",-1.41476963445249,5,0.617457662069629,0.0398893674743898,0
"390","1658390 - 1663036",-2.44447350756696,45,5.55711895862666,0.191375478218487,2
"391","1663373 - 1665749",-2.14404150789723,18,2.22284758345066,0.0454474187212078,0
"392","1665761 - 1668162",-2.08562487827559,17,2.09935605103674,0.0743416513255057,0
"393","1668302 - 1669090",-1.37353287951904,4,0.493966129655703,0.00649701838296823,0
"394","1669907 - 1671894",-1.64945981224214,8,0.987932259311406,0.0682163441352723,0
"395","1672402 - 1675566",-2.03303071370462,14,1.72888145379496,0.0292230766294662,0
"396","1676182 - 1677783",-1.18888060434325,14,1.72888145379496,0.734951128492867,2
"397","1678820 - 1681377",-2.3135976082825,31,3.8282375048317,0.156127509270759,1
"398","1681435 - 1692161",-2.53278520695229,121,14.942475422085,1.09100406063649,10
"399","1692791 - 1694345",-1.77571703968134,9,1.11142379172533,0.0366285266319619,0
"400","1694889 - 1701865",-2.51055996996018,80,9.87932259311406,0.577514702557643,7
"401","1701397 - 1703791",-1.67049672836436,7,0.86444072689748,0.0140692392839421,0
"402","1705435 - 1706918",-1.56576937567566,6,0.740949194483554,0.0216238435407106,0
"403","1707861 - 1709391",-1.45175992398526,5,0.617457662069629,0.0247883800614821,0
"404","1709869 - 1712608",-2.26115722999172,38,4.69267823172918,0.415340573774102,4
"405","1713070 - 1714304",-1.58456426838369,6,0.740949194483554,0.0129893389941483,0
"406","1714779 - 1717145",-1.867144261144,15,1.85237298620889,0.207050181011019,1
"407","1717415 - 1718905",-2.13446213136559,19,2.34633911586459,0.0837248632507994,0
"408","1718938 - 1725224",-2.49245225940715,75,9.26186493104443,0.563855931083688,5
"409","1728890 - 1731885",-2.02589857792889,20,2.46983064827851,0.232432241982225,1
"410","1731176 - 1734347",-2.03953457573187,16,1.97586451862281,0.0869293308317698,1
"411","1733903 - 1736776",-2.06240689711516,16,1.97586451862281,0.0657459033961954,0
"412","1736787 - 1740230",-2.35385798179743,39,4.8161697641431,0.261325887365049,3
"413","1740858 - 1742152",-1.46746454294307,5,0.617457662069629,0.018377096013647,0
"414","1742517 - 1746755",-1.92912460285274,41,5.06315282897095,1.16287233511555,5
"415","1747226 - 1751441",-1.84783145774778,30,3.70474597241777,0.852498774175174,3
"416","1751384 - 1753416",-1.78020307339495,22,2.71681371310637,0.593382601214961,2
"417","1754466 - 1756072",-1.54696681366973,6,0.740949194483554,0.0302618714161139,0
"418","1756482 - 1757258",-1.67261350452758,7,0.86444072689748,0.0129916878800424,0
"419","1757488 - 1759205",-2.11903817132097,19,2.34633911586459,0.100074870737873,0
"420","1759227 - 1760663",-1.13392260520622,3,0.370474597241777,0.0323147976875218,0
"421","1762256 - 1766650",-2.55353420177296,77,9.50884799587228,0.377710247308324,4
"422","1767459 - 1769954",-1.76462376886214,11,1.35840685655318,0.125281939709971,2
"423","1770414 - 1772184",-1.93262767091782,13,1.60538992138103,0.077460384571343,0
"424","1772009 - 1774198",-1.99037954830952,17,2.09935605103674,0.166819050639044,1
"425","1774605 - 1776787",-2.14975402454812,21,2.59332218069244,0.124010605219812,1
"426","1777078 - 1779609",-2.09600652363467,16,1.97586451862281,0.0346272758502233,0
"427","1780084 - 1782733",-2.18116345164655,22,2.71681371310637,0.115115961560482,1
"428","1782875 - 1787222",-2.36818866464254,32,3.95172903724562,0.0897550405623233,0
"429","1788846 - 1798269",-2.58544889517144,103,12.7196278386343,0.581369224309795,6
"430","1798297 - 1799944",-1.85501078809096,10,1.23491532413926,0.0248882077119796,0
"431","1800111 - 1804509",-2.29488265486837,27,3.33427137517599,0.0928690760363725,2
"432","1807031 - 1810365",-1.5281367315568,35,4.3222036344874,1.63064239093095,4
"433","1810090 - 1812833",-2.18230077048256,27,3.33427137517599,0.251885127735351,3
"434","1812871 - 1814731",-1.73361702520547,12,1.48189838896711,0.190567461470931,2
"435","1814738 - 1818029",-1.74494166151021,50,6.17457662069629,1.96695704768532,8
"436","1818370 - 1820937",-2.20302720026447,20,2.46983064827851,0.0368117397316985,1
"437","1820807 - 1823494",-2.2410719047374,26,3.21077984276207,0.143548050865124,1
"438","1823963 - 1826025",-2.06934328331944,16,1.97586451862281,0.059321700475943,0
"439","1826113 - 1826839",-1.7933761596167,9,1.11142379172533,0.0259399213710447,0
"440","1828240 - 1829054",-0.928904431772069,2,0.246983064827851,0.0279435210386773,0
"441","1830464 - 1831417",-1.71540709947359,9,1.11142379172533,0.0731325623115386,1
"442","1832152 - 1839819",-2.435186937887,52,6.42155968552414,0.339056393814209,4
"443","1839423 - 1842878",-2.37998401277068,49,6.05108508828236,0.415062818017129,2
"444","1843205 - 1854563",-2.60561304831295,118,14.5720008248432,0.658319900642127,6
"445","1855488 - 1857930",-1.97733199079803,13,1.60538992138103,0.0421172857449051,0
"446","1858329 - 1867357",-2.43927031634263,102,12.5961363062204,1.24908349408521,10
"447","1870415 - 1871077",-1.73302721344037,8,0.987932259311406,0.0216203202118695,0
"448","1872795 - 1881752",-2.55969898980084,114,14.0780346951875,0.849769955987751,7
"449","1882167 - 1888573",-2.29530031392672,77,9.50884799587228,1.30112423551104,7
"450","1888273 - 1889408",-1.73534904048399,9,1.11142379172533,0.061062224923441,0
"451","1889494 - 1892695",-2.19317494434384,52,6.42155968552414,0.943543353093336,5
"452","1893348 - 1896529",-1.91038121503542,14,1.72888145379496,0.131760754227261,2
"453","1896443 - 1898242",-1.78976905007271,9,1.11142379172533,0.0281232108095729,0
"454","1899181 - 1905942",-2.17762482699401,43,5.31013589379881,0.718722088629337,3
"455","1906472 - 1908483",-1.79868786611302,9,1.11142379172533,0.0227248838035509,0
"456","1908678 - 1914041",-2.20404316581063,58,7.16250888000769,1.08630805051279,7
"457","1916392 - 1918050",-2.23550596338105,24,2.96379677793422,0.1004201569643,0
"458","1920268 - 1920811",NA,NA,NA,NA,NA
"459","1922656 - 1922928",NA,NA,NA,NA,NA
"460","1925995 - 1928144",-0.753035048004359,1,0.123491532413926,0.00216567279432274,0
"461","1928510 - 1928677",NA,NA,NA,NA,NA
"462","1928934 - 1933138",-0.759752260332563,1,0.123491532413926,0.00108342361863489,0
"463","1933278 - 1937217",-1.56773250018895,24,2.96379677793422,0.955746402534448,5
"464","1940627 - 1942588",-1.78432206301563,10,1.23491532413926,0.0709985994767857,1
"465","1944702 - 1946935",-0.917527868730227,12,1.48189838896711,0.798453258638762,1
"466","1948696 - 1969412",-2.57664464996018,143,17.6592891351914,1.13134617586696,9
"467","1970810 - 1974642",-1.87529202427464,13,1.60538992138103,0.122789771776374,2
"468","1975705 - 1980325",-1.57702136183382,47,5.80410202345451,2.20597615293596,9
"469","1982068 - 1984327",-2.07274063736391,24,2.96379677793422,0.308900222263328,3
"470","1985056 - 1987411",-0.860869096276424,41,5.06315282897095,3.32265823416631,15
"471","2000342 - 2003996",-0.920165375080363,54,6.66854275035199,4.29069635658437,17
